DATE,TESTER,PRODUCT,LOT NUMBER,TEST STEP,DATE LOT STARTED,LAST UPDATE,TOTAL IN,HANDLER,STATUS,LOADING COUNTS,TOTAL,AUTO1,AUTO2,AUTO3,LAST UPDATE (2),ENDLOT,ENDLOT_TESTER_RAW
2026-01-23 08:55:17,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:50,2026-01-23 08:51:39,64285,NS-3,running,21184,21176,16861,0,4272,2026-01-23 08:50:17,0,
2026-01-23 09:33:49,HP-2,ES982X,TGWDSXX959,FT,2026-01-08 13:33:35,2026-01-08 13:33:35,135393,CHROMA,running,131685,131675,127400,2919,1356,2026-01-23 09:30:05,0,
2026-01-23 15:13:48,HP-2,ES982X,TGWDSXX959,FT,2026-01-23 09:33:08,2026-01-23 09:34:58,3718,CHROMA,error,9,9,1,1,1,2026-01-23 14:43:09,0,
2026-01-23 16:27:24,HP-2,ES982X,TGWDSXX959,FT,2026-01-23 09:33:08,2026-01-23 09:34:58,3718,CHROMA,error,9,9,1,1,1,2026-01-23 15:55:03,0,
2026-01-24 13:43:52,S100_1,ES9291Q,TGWDS13A84,FT1,2026-01-19 16:37:00,2026-01-24 09:59:23,64285,NS-3,error,38213,38202,32041,0,6080,2026-01-24 13:39:56,0,
2026-01-24 22:22:27,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:50,2026-01-24 20:25:30,64285,NS-3,stopped,39141,39129,32895,0,6152,2026-01-24 21:49:27,0,
2026-01-24 22:22:27,S100_2,ES9842QPRO,TGWBS02G30,25C_FT1,2026-01-22 12:14:45,2026-01-24 20:25:37,56860,NS-4,stopped,14894,14889,5890,3381,2556,2026-01-24 21:49:23,0,
2026-01-24 22:22:27,AP-2,ES9822,TGWBS04R21,25C_BIN4_65C_RT-1,2026-01-23 08:10:00,2026-01-24 22:18:43,9692,NS-5,running,7316,7250,3348,802,3052,2026-01-24 21:49:27,0,
2026-01-26 22:39:23,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:50,2026-01-26 22:35:48,64285,NS-3,running,42561,42542,35570,0,6884,2026-01-26 22:08:26,0,
2026-01-26 23:00:25,S100_2,ES9842QPRO,TGWBS02G30,25C_FT1,2026-01-22 12:14:45,2026-01-26 22:56:50,56860,NS-4,running,17119,17107,6742,3899,2984,2026-01-26 22:27:01,0,
2026-01-26 23:56:37,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:50,2026-01-26 23:53:01,64285,NS-3,running,43285,43264,35570,0,7081,2026-01-26 23:23:05,0,
2026-01-27 10:23:17,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:50,2026-01-27 10:19:37,64285,NS-3,running,49313,49294,97,0,8699,2026-01-27 09:50:33,0,
2026-01-28 13:24:46,HP-2,ES982X,TGWDSXX959,FT,2026-01-23 09:33:08,2026-01-27 17:17:23,135393,CHROMA,running,134501,134482,138897,3814,1371,2026-01-28 09:37:48,0,
2026-01-28 13:24:46,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:50,2026-01-28 09:38:01,64285,NS-3,running,62529,62510,52656,0,9720,2026-01-28 09:33:11,0,
2026-01-28 13:56:28,AP-2,ES9822,TGWBS04R21,25C_BIN2_65C_FT-1,2026-01-16 10:55:00,2026-01-28 13:52:48,9088,NS-5,running,9109,9078,3754,959,4311,2026-01-28 13:51:44,0,
2026-01-28 18:42:59,HP-2,ES982X,TGWDSXX959,RT1,2026-01-28 11:02:54,2026-01-28 11:02:54,4402,CHROMA,running,0,0,8,8,8,2026-01-28 18:39:09,0,
2026-01-29 08:52:37,S100_2,ES9842QPRO,TGWBS02G30,25C_FT1,2026-01-29 08:42:12,2026-01-29 08:42:12,56860,NS-4,maint,26416,26404,25,6275,5824,2026-01-29 08:48:57,0,
2026-01-29 09:16:34,HP-2,ES982X,TGWDSXX959,RT2,2026-01-28 18:44:12,2026-01-28 18:44:12,4402,CHROMA,running,3491,3491,8,2987,496,2026-01-29 09:12:40,0,
2026-01-29 09:40:28,HP-2,ES982X,TGWDSXX959,QA,2026-01-29 09:16:39,2026-01-29 09:16:39,4402,CHROMA,running,200,200,208,8,8,2026-01-29 09:36:49,0,
2026-01-29 13:37:02,AP-2,ES9822,TGWBS04R21,25C_BIN4_65C_RT-1,2026-01-23 08:10:00,2026-01-29 12:52:06,3769,NS-5,maint,4317,4285,343,190,3743,2026-01-29 13:30:31,0,
2026-01-29 13:50:40,S100_1,ES9291Q,TGWDS13A84,B34_70C_FT1-RT1,2026-01-29 08:46:56,2026-01-29 08:46:56,9850,NS-3,stopped,9852,9793,5719,0,4045,2026-01-29 13:44:47,0,
